Date,Close
2022-05-25,169.750000
2022-05-26,178.509995
2022-05-27,188.110001
2022-05-31,186.720001
2022-06-01,183.199997
2022-06-02,195.919998
2022-06-03,187.199997
2022-06-06,187.860001
2022-06-07,189.259995
2022-06-08,186.479996
2022-06-09,180.479996
2022-06-10,169.740005
2022-06-13,156.470001
2022-06-14,158.360001
2022-06-15,165.270004
2022-06-16,156.009995
2022-06-17,158.800003
2022-06-21,165.660004
2022-06-22,163.600006
2022-06-23,162.250000
2022-06-24,171.259995
2022-06-27,168.690002
2022-06-28,159.820007
2022-06-29,155.419998
2022-06-30,151.589996
2022-07-01,145.229996
2022-07-05,149.639999
2022-07-06,151.300003
2022-07-07,158.580002
2022-07-08,158.380005
2022-07-11,151.520004
2022-07-12,150.820007
2022-07-13,151.639999
2022-07-14,153.720001
2022-07-15,157.619995
2022-07-18,161.009995
2022-07-19,169.919998
2022-07-20,178.070007
2022-07-21,180.500000
2022-07-22,173.190002
2022-07-25,170.240005
2022-07-26,165.330002
2022-07-27,177.899994
2022-07-28,179.839996
2022-07-29,181.630005
2022-08-01,184.410004
2022-08-02,185.259995
2022-08-03,188.929993
2022-08-04,192.149994
2022-08-05,189.889999
2022-08-08,177.929993
2022-08-09,170.860001
2022-08-10,180.970001
2022-08-11,179.419998
2022-08-12,187.089996
2022-08-15,190.320007
2022-08-16,188.789993
2022-08-17,183.350006
2022-08-18,187.729996
2022-08-19,178.490005
2022-08-22,170.339996
2022-08-23,171.809998
2022-08-24,172.220001
2022-08-25,179.130005
2022-08-26,162.600006
2022-08-29,158.009995
2022-08-30,154.679993
2022-08-31,150.940002
2022-09-01,139.369995
2022-09-02,136.470001
2022-09-06,134.649994
2022-09-07,137.139999
2022-09-08,139.899994
2022-09-09,143.869995
2022-09-12,145.050003
2022-09-13,131.309998
2022-09-14,131.279999
2022-09-15,129.289993
2022-09-16,131.979996
2022-09-19,133.820007
2022-09-20,131.759995
2022-09-21,132.610001
2022-09-22,125.610001
2022-09-23,125.160004
2022-09-26,122.279999
2022-09-27,124.129997
2022-09-28,127.360001
2022-09-29,122.199997
2022-09-30,121.389999
2022-10-03,125.120003
2022-10-04,131.669998
2022-10-05,132.089996
2022-10-06,131.300003
2022-10-07,120.760002
2022-10-10,116.699997
2022-10-11,115.860001
2022-10-12,115.000000
2022-10-13,119.599998
2022-10-14,112.269997
2022-10-17,118.879997
2022-10-18,119.669998
2022-10-19,120.510002
2022-10-20,121.940002
2022-10-21,124.660004
2022-10-24,125.989998
2022-10-25,132.610001
2022-10-26,128.960007
2022-10-27,131.759995
2022-10-28,138.339996
2022-10-31,134.970001
2022-11-01,135.429993
2022-11-02,132.190002
2022-11-03,134.210007
2022-11-04,141.559998
2022-11-07,143.009995
2022-11-08,146.020004
2022-11-09,137.759995
2022-11-10,157.500000
2022-11-11,163.270004
2022-11-14,162.949997
2022-11-15,166.660004
2022-11-16,159.100006
2022-11-17,156.770004
2022-11-18,154.089996
2022-11-21,153.169998
2022-11-22,160.380005
2022-11-23,165.190002
2022-11-25,162.699997
2022-11-28,158.270004
2022-11-29,156.389999
2022-11-30,169.229996
2022-12-01,171.350006
2022-12-02,168.759995
2022-12-05,166.100006
2022-12-06,159.869995
2022-12-07,161.199997
2022-12-08,171.690002
2022-12-09,170.009995
2022-12-12,175.350006
2022-12-13,180.720001
2022-12-14,176.740005
2022-12-15,169.520004
2022-12-16,165.710007
2022-12-19,162.539993
2022-12-20,160.850006
2022-12-21,165.009995
2022-12-22,153.389999
2022-12-23,152.059998
2022-12-27,141.210007
2022-12-28,140.360001
2022-12-29,146.029999
2022-12-30,146.139999
2023-01-03,143.149994
2023-01-04,147.490005
2023-01-05,142.649994
2023-01-06,148.589996
2023-01-09,156.279999
2023-01-10,159.089996
2023-01-11,160.009995
2023-01-12,165.110001
2023-01-13,168.990005
2023-01-17,177.020004
2023-01-18,173.770004
2023-01-19,167.649994
2023-01-20,178.389999
2023-01-23,191.929993
2023-01-24,192.649994
2023-01-25,193.229996
2023-01-26,198.020004
2023-01-27,203.649994
2023-01-30,191.619995
2023-01-31,195.369995
2023-02-01,209.429993
2023-02-02,217.089996
2023-02-03,211.000000
2023-02-06,210.889999
2023-02-07,221.729996
2023-02-08,222.050003
2023-02-09,223.369995
2023-02-10,212.649994
2023-02-13,217.880005
2023-02-14,229.710007
2023-02-15,227.639999
2023-02-16,220.020004
2023-02-17,213.880005
2023-02-21,206.550003
2023-02-22,207.539993
2023-02-23,236.639999
2023-02-24,232.860001
2023-02-27,235.009995
2023-02-28,232.160004
2023-03-01,226.979996
2023-03-02,233.139999
2023-03-03,238.899994
2023-03-06,235.539993
2023-03-07,232.880005
2023-03-08,241.809998
2023-03-09,234.360001
2023-03-10,229.649994
2023-03-13,229.660004
2023-03-14,240.630005
2023-03-15,242.279999
2023-03-16,255.410004
2023-03-17,257.250000
2023-03-20,259.000000
2023-03-21,261.989990
2023-03-22,264.679993
2023-03-23,271.910004
2023-03-24,267.790009
2023-03-27,265.309998
2023-03-28,264.100006
2023-03-29,269.839996
2023-03-30,273.829987
2023-03-31,277.769989
2023-04-03,279.649994
2023-04-04,274.529999
2023-04-05,268.809998
2023-04-06,270.369995
2023-04-10,275.790009
2023-04-11,271.690002
2023-04-12,264.950012
2023-04-13,264.630005
2023-04-14,267.579987
2023-04-17,270.019989
2023-04-18,276.670013
2023-04-19,279.309998
2023-04-20,271.040009
2023-04-21,271.190002
2023-04-24,270.420013
2023-04-25,262.410004
2023-04-26,269.559998
2023-04-27,272.260010
2023-04-28,277.489990
2023-05-01,289.100006
2023-05-02,282.100006
2023-05-03,278.019989
2023-05-04,275.619995
2023-05-05,286.799988
2023-05-08,291.510010
2023-05-09,285.709991
2023-05-10,288.850006
2023-05-11,285.779999
2023-05-12,283.399994
2023-05-15,289.529999
2023-05-16,292.130005
2023-05-17,301.779999
2023-05-18,316.779999
2023-05-19,312.640015
2023-05-22,311.760010
2023-05-23,306.880005
2023-05-24,305.380005
